stand_id,stand_ref,to_18L_m,to_36R_m,to_01_m,to_19_m,to_18R_m,to_36L_m
248246501,551,1932.2,2784.7,3496.6,2278.0,3225.5,5879.3
1055722493,504,2643.2,3424.8,2790.7,2071.7,3977.4,6631.1
1055722511,501,2483.7,3357.9,2892.5,1912.2,3817.8,6471.6
1055722530,506,2806.3,3276.1,2642.0,2234.8,4140.4,6628.6
1055722723,503,2576.9,3435.2,2801.1,2005.4,3911.1,6564.8
1055722767,536,2092.9,2967.1,3322.7,2140.5,3427.0,6080.8
1055722865,502,2556.8,3431.1,2878.1,1985.3,3891.0,6544.8
1055722971,505,2797.4,3267.3,2633.2,2225.9,4131.6,6619.8
1055722988,525,2579.7,1912.3,2912.7,3186.4,3429.6,5242.1
1056970781,208,2871.2,2412.4,4397.6,4043.3,1416.7,4315.4
1056971625,205,3201.2,2742.4,4727.6,4373.3,1455.5,4354.2
1056972079,214,2617.5,2081.2,4066.5,3712.2,1750.6,4649.3
2119381316,507,2823.4,3235.2,2601.1,2251.9,4157.6,6587.7
2119381319,532,2391.9,2416.7,3417.1,2693.6,3336.7,5574.4
2119381320,515,3917.0,2288.3,1765.4,2883.5,4450.4,5640.9
2119381323,529,2565.2,2205.6,3206.0,2905.3,3441.4,5535.4
2119381324,552,1851.9,2620.9,3727.0,2526.7,3103.9,5715.4
2119381325,555,2369.7,2317.9,3334.8,2789.5,3245.9,5412.4
2119381326,527,2695.6,2062.0,3062.4,3035.7,3571.8,5391.8
2119381327,564,2738.4,3282.5,2648.4,2167.0,4072.6,6635.0
2119381328,560,2552.6,3464.4,2826.0,1660.4,3924.3,6578.0
2119381329,561,2650.2,3561.9,2846.3,1757.9,4021.8,6675.6
2119381330,554,2315.3,2377.9,3431.2,2689.5,3193.9,5472.5
2119381331,522,3220.1,1728.0,2372.7,3709.5,3651.8,5057.8
2119381332,526,2626.5,1983.8,2984.2,3105.7,3501.1,5313.6
2119381333,512,3150.2,2904.9,2270.8,2467.6,4484.4,6257.4
2119381336,528,2642.2,2121.3,3121.7,2982.3,3518.5,5451.1
2119381338,514,3324.3,2721.3,2087.2,2389.9,4658.5,6073.8
2119381339,513,3249.6,2799.9,2165.8,2468.5,4583.8,6152.4
2119381340,509,3003.6,3055.7,2421.6,2376.3,4337.8,6408.3
2119381341,533,2278.1,2564.6,3565.0,2579.7,3401.1,5679.7
2119381343,553,2164.9,2605.6,3606.0,2466.5,3442.1,5720.7
2119381344,523,3146.5,1654.5,2437.6,3774.3,3578.2,4984.3
2119381346,517,3904.3,2174.5,1902.8,3020.9,4336.0,5527.0
2119381354,519,3837.1,2107.3,2002.5,3120.6,4268.8,5459.8
2119381356,516,3973.5,2243.8,1834.7,2952.8,4405.3,5596.3
2119381360,520,3318.8,1826.8,2300.6,3637.4,3750.6,5156.6
2119381362,524,2757.3,1587.6,2588.0,3455.6,3189.0,4917.4
2119381363,535,2172.6,2630.8,3631.2,2474.2,3465.8,5745.9
2119381364,556,2584.6,2116.4,3116.8,2924.7,3460.8,5446.2
2119381365,518,3835.7,2105.9,1973.8,3091.9,4267.4,5458.4
2119381366,562,2613.8,3395.4,2761.3,2042.4,3948.0,6601.8
2119381367,565,3109.0,2997.0,2282.3,2154.6,4443.2,6349.5
2119381369,510,3066.4,2990.4,2356.3,2433.0,4400.5,6342.9
2119381371,521,3288.5,1796.5,2303.6,3640.4,3720.2,5126.3
2119381373,530,2527.8,2245.3,3245.7,2867.9,3404.0,5570.5
2119381375,534,2265.3,2551.8,3552.2,2567.0,3388.3,5666.9
2119381376,508,2909.7,3141.7,2507.6,2338.2,4243.8,6494.2
2119381377,511,3119.4,2931.7,2297.6,2436.8,4453.5,6284.2
2119381378,531,2478.7,2337.7,3338.1,2780.4,3358.1,5562.1
2119381379,563,2709.0,3316.1,2682.0,2137.6,4043.2,6668.7
2121138618,322,966.4,3923.1,4590.7,1951.0,4283.9,6999.9
2121138619,457,1646.8,2751.1,3780.0,2359.2,3139.2,5845.7
2121138622,461,2260.3,3875.8,3215.8,1272.1,4335.7,6989.4
2121138625,317,1787.4,4086.5,3807.5,959.8,4478.5,7181.0
2121138626,323,904.7,3861.5,4529.1,1889.3,4222.2,6938.3
2121138627,330,841.8,4118.3,4787.9,2148.1,4479.1,7195.1
2121138628,318,1676.6,3975.6,3775.2,1135.4,4367.6,7070.2
2121138629,463,2224.6,3840.1,3157.6,1236.4,4300.0,6953.7
2121138630,307,2317.3,4616.4,4337.4,852.3,5008.4,7710.9
2121138632,302,2617.9,4916.9,4499.9,889.5,5308.9,8011.5
2121138633,405,2163.1,3563.1,3291.5,1552.4,4002.7,6657.6
2121138634,455,1601.6,3136.4,3781.6,1938.2,3564.8,6231.0
2121138635,320,1305.0,3604.0,4190.4,1550.6,3996.0,6698.6
2121138637,453,1662.6,3197.4,3842.6,1999.2,3625.8,6292.0
2121138645,304,2475.5,4774.6,4462.5,893.5,5166.5,7869.1
2121138647,321,1033.4,3681.3,4346.4,1706.6,4056.0,6772.1
2121138648,313,1943.3,4242.4,3963.4,939.5,4634.4,7336.9
2121138651,409,1694.2,3068.3,3713.5,2030.8,3496.7,6162.8
2121138653,327,823.5,3979.1,4648.7,2008.9,4339.8,7055.9
2121138654,459,1855.7,3993.8,3487.3,1004.6,4429.1,7088.4
2121138655,559,3202.1,1710.1,2358.7,3695.5,3633.8,5039.9
2121138656,312,2114.3,4413.3,4134.3,789.3,4805.3,7507.9
2121138661,310,2170.7,4469.8,4190.8,761.6,4861.7,7564.3
2121138669,458,1679.2,2697.3,3685.0,2346.3,3125.7,5791.8
2121138672,316,1892.8,4191.8,3912.8,956.3,4583.8,7286.4
2121138673,452,1195.2,3349.0,4200.3,1742.1,3737.0,6443.5
2121138679,462,1983.0,3685.3,3413.7,1372.2,4124.9,6779.9
2121138680,336,707.2,4291.4,5112.3,2472.5,4620.8,7363.8
2121138682,325,874.9,3891.7,4559.3,1919.5,4252.4,6968.5
2121138687,319,1259.5,3558.5,4144.9,1505.1,3950.5,6653.1
2121138689,406,2158.8,3546.3,3274.7,1548.0,3985.9,6640.9
2121138692,306,2372.9,4671.9,4392.9,861.4,5063.9,7766.5
2121138693,464,2094.0,3624.8,3353.2,1483.3,4064.4,6719.4
2121138694,332,783.4,4224.1,4893.7,2253.9,4584.9,7300.9
2121138698,456,1665.3,3065.8,3711.0,2002.0,3494.2,6160.4
2121138699,454,1627.3,3162.1,3807.3,1963.9,3590.5,6256.7
2121138701,311,2099.3,4398.4,4119.4,754.3,4790.4,7492.9
2121138702,308,2285.0,4584.0,4305.0,844.4,4976.0,7678.6
2121138703,466,2479.7,3508.2,2896.5,1546.0,3968.2,6621.9
2121138704,451,1151.0,3304.7,4156.1,1697.9,3692.7,6399.3
2121138706,303,2541.9,4840.9,4501.1,900.2,5232.9,7935.5
2121138707,407,2289.9,3334.5,3131.5,1773.7,3774.1,6429.1
2121138710,314,1941.3,4240.4,3961.4,937.5,4632.4,7334.9
2121138712,337,654.9,4239.1,5167.5,2527.8,4568.5,7311.4
2121138713,465,2502.1,3608.3,2948.3,1513.9,4068.2,6721.9
2121138714,324,915.0,3871.8,4539.3,1899.6,4232.5,6948.6
2121138718,329,810.3,4067.4,4736.9,2097.2,4428.1,7144.2
2121138720,328,829.4,4049.1,4718.6,2078.9,4409.8,7125.9
2121138722,331,761.6,4176.6,4846.1,2206.4,4537.3,7253.3
2121138723,315,1894.3,4193.3,3914.3,890.4,4585.3,7287.9
2121138725,309,2189.7,4488.8,4209.8,780.6,4880.8,7583.3
2121138731,408,1966.3,3010.9,3384.9,2027.1,3450.6,6105.5
2121138732,326,868.4,3938.5,4608.1,1968.3,4299.3,7015.3
2121138736,334,833.8,4275.0,4944.6,2304.8,4635.8,7351.8
2121138739,335,784.0,4298.5,5037.5,2397.8,4659.2,7375.3
2121138742,333,815.1,4255.8,4925.4,2285.6,4616.5,7332.6
2121138745,305,2428.4,4727.4,4448.4,916.9,5119.4,7822.0
2121138749,558,3129.9,1637.9,2423.0,3759.8,3561.6,4967.7
2121138750,301,2682.2,4981.3,4435.5,825.1,5373.2,8075.8
2121138751,460,1899.8,4037.9,3531.3,1048.7,4473.1,7132.4
2121145710,354,942.1,3684.8,4443.4,1803.6,4045.5,6761.6
2121145712,361,2055.1,4306.1,3552.2,774.4,4741.3,7400.6
2121145716,357,1041.2,3350.1,4291.6,1711.8,3707.7,6423.8
2121145717,351,524.3,3825.9,4887.5,2247.7,4182.2,6898.3
2121145719,352,893.3,3761.2,4519.8,1880.0,4121.9,6838.0
2121145720,353,878.1,3746.0,4504.6,1864.8,4106.7,6822.8
2121145721,356,1037.9,3586.7,4346.2,1742.7,3947.5,6663.5
2121145722,355,988.5,3631.6,4391.1,1775.5,3992.3,6708.4
2121145724,359,1943.0,4241.8,3849.1,821.1,4634.0,7336.4
2121145726,360,1945.0,4243.8,3851.1,823.2,4636.0,7338.4
2121145729,358,2031.1,4330.0,3937.2,722.9,4722.1,7424.5
4114501803,103,4180.5,1711.4,3975.0,5222.1,2118.1,3330.6
4114501805,104,4097.3,1628.2,3891.8,5138.9,2034.9,3247.4
4114501806,105,4062.7,1593.6,3857.2,5104.3,1949.1,3161.7
4114501807,106,4094.1,1625.0,3888.5,5135.7,1789.5,3002.0
4114501808,107,4353.3,1884.2,4147.7,5394.8,1767.4,3017.4
4114501829,110,4276.3,1807.2,4070.8,5317.9,1690.5,2940.4
4114501830,111,4323.7,1854.6,4118.2,5365.3,1570.5,2820.4
4114501831,112,4403.7,1934.6,4198.2,5445.3,1488.5,2738.4
4114501832,113,4642.2,2173.1,4436.7,5683.8,1482.7,2843.6
4114501833,114,4707.6,2238.5,4502.0,5749.2,1548.1,2909.0
4114501834,115,4698.3,2229.2,4492.7,5739.9,1538.8,2899.7
4114501835,116,4720.9,2251.8,4515.4,5762.5,1561.4,2922.3
4114501841,240,4193.6,1724.5,3988.1,5235.2,2131.2,3343.7
4114501842,239,4155.7,1686.6,3950.1,5197.2,2093.2,3305.8
4114501844,238,4091.6,1622.5,3886.1,5133.2,2029.2,3241.7
4114501848,237,4072.4,1603.3,3866.9,5114.0,2010.0,3222.5
4114501849,236,3870.6,1401.5,3665.1,4912.2,2022.0,3205.8
4114501850,235,3792.1,1323.0,3586.6,4833.7,2087.5,3271.3
4114501853,234,3817.7,1348.6,3612.2,4859.3,2113.1,3296.9
4114501855,233,3691.9,1243.6,3486.4,4733.5,2210.8,3394.6
4114501857,232,3643.4,1209.0,3437.9,4685.0,2264.1,3447.9
4114501859,231,3575.5,1141.1,3370.0,4617.1,2317.1,3496.9
4114501861,230,3518.8,1084.4,3313.2,4560.4,2372.5,3552.3
4114501863,229,3529.1,1094.6,3323.5,4570.6,2382.8,3562.6
4114501864,228,3362.3,1051.6,3242.7,4422.1,2570.8,3750.6
4114501866,227,3186.9,1185.1,3337.9,4246.8,2603.3,3884.9
4114501870,226,3165.9,1338.5,3491.3,4225.7,2579.5,4038.4
4114501875,221,3132.1,1529.0,3681.8,4191.9,2502.6,4228.8
4114501877,220,3186.4,1583.3,3736.0,4246.2,2556.9,4283.1
4114501879,219,2935.7,1711.5,3864.3,3995.5,2306.2,4411.4
4114501880,218,2899.0,1741.9,3894.7,3958.8,2269.5,4441.8
4114501882,217,2860.8,1711.5,3864.3,3920.7,2231.3,4415.1
4114501883,216,2636.1,1778.0,3930.8,3695.9,2003.9,4481.6
4114505455,215,2646.0,1787.9,3940.7,3705.8,2013.8,4491.5
4114505463,212,2689.8,2213.0,4198.2,3843.9,1635.2,4534.0
4114505465,211,2749.3,2272.4,4257.7,3903.4,1550.0,4448.8
4114505467,210,2816.6,2339.8,4325.0,3970.7,1471.3,4370.1
4114505468,209,2822.8,2345.9,4331.2,3976.9,1477.5,4376.2
4114505470,207,3096.7,2637.9,4623.1,4268.8,1351.0,4249.7
4114505472,206,3169.6,2710.7,4696.0,4341.7,1423.9,4322.6
4121249471,213,2653.9,2119.0,4104.2,3749.9,1685.7,4584.5
4123042365,730,1955.1,2668.6,4141.8,3337.7,2248.7,5147.5
4123042372,729,2006.5,2627.9,4101.1,3339.3,2208.0,5106.8
4123042373,728,2048.9,2585.3,4143.6,3381.8,2165.5,5064.2
4123042375,727,2089.3,2544.6,4183.9,3422.1,2124.8,5023.5
4123042377,726,2132.5,2504.0,4227.1,3465.3,2084.2,4983.0
4123042379,725,2201.6,2453.2,4296.3,3534.5,2033.3,4932.1
4123042381,724,2252.3,2403.7,4347.0,3585.2,1983.9,4882.6
4123042383,723,2363.3,2315.8,4286.3,3696.2,1896.0,4794.7
4123042385,722,2351.7,2304.2,4274.7,3684.6,1884.4,4783.1
4123042387,721,2402.0,2254.9,4225.4,3734.9,1835.1,4733.8
4123793099,629,970.1,4497.5,5838.3,3364.8,4344.3,7243.1
4123793105,635,779.8,4307.2,5648.0,3174.5,4154.1,7052.8
4123793106,628,941.5,4468.9,5809.7,3336.2,4315.7,7214.5
4123793116,627,983.6,4511.0,5851.8,3378.3,4357.8,7256.6
4123793132,626,970.1,4497.5,5838.3,3364.8,4344.3,7243.1
4123793416,710,1392.7,3185.8,4573.4,2717.4,2927.7,5826.4
4123793418,709,1680.7,3009.2,4421.9,3063.2,2608.8,5507.6
4123793420,708,1644.4,2972.9,4385.7,3026.9,2572.5,5471.3
4123793422,707,1695.8,3024.3,4437.1,3078.4,2624.0,5522.7
4123793424,706,1948.6,2724.1,4136.8,3331.2,2323.7,5222.5
4123793426,704,2041.2,2662.6,4109.0,3347.2,2242.8,5141.6
4123793429,703,2186.9,2438.5,4281.6,3519.8,2018.6,4917.4
4123793435,735,2935.0,2594.5,4579.8,4225.5,1810.6,4709.4
4123793439,734,2900.1,2559.6,4544.9,4190.6,1775.7,4674.5
4123793440,702,2235.2,2386.7,4329.9,3568.1,1966.8,4865.6
4123793443,733,2851.5,2511.1,4496.3,4142.0,1727.2,4625.9
4123793445,732,2800.8,2460.4,4445.6,4091.3,1676.5,4575.2
4123793446,701,2310.5,2361.2,4331.7,3643.4,1941.4,4840.1
4123793449,731,2752.3,2411.8,4397.1,4042.8,1627.9,4526.7
4208776510,711,1296.7,3222.1,4609.7,2725.5,2906.1,5804.8
4208776512,712,1317.4,3242.8,4630.5,2746.3,2926.8,5825.6
4209004864,815,4650.5,1970.9,4443.5,5692.1,1648.8,2394.3
4209004865,814,4550.0,1870.3,4343.0,5591.5,1640.6,2530.0
4209004866,813,4492.8,1813.2,4285.9,5534.4,1699.5,2588.8
4209004868,812,4436.3,1756.6,4229.3,5477.8,1758.3,2647.6
4209004870,811,4418.0,1737.6,4210.2,5459.5,1924.5,2669.9
4209004872,810,4187.5,1507.1,3979.7,5229.1,1983.0,2911.1
4209004874,809,4112.7,1432.3,3905.0,5154.3,2058.7,2986.7
4209004875,808,4039.3,1322.4,3795.0,5062.8,2157.1,3116.3
4209004877,807,3983.8,1266.9,3739.5,5007.3,2191.8,3151.0
4209004878,806,3901.9,1185.0,3657.7,4925.5,2243.8,3203.0
4209004880,805,3850.7,1133.8,3606.5,4874.3,2306.9,3266.1
4209004882,804,3830.0,1075.3,3547.9,4853.1,2363.9,3323.1
4209004884,803,3772.9,1018.2,3490.9,4796.0,2422.2,3381.4
4209004885,802,3713.9,959.2,3431.9,4737.1,2480.8,3440.0
4209004887,801,3651.9,897.1,3369.8,4675.0,2534.3,3493.4
4209006200,W108,5503.4,2054.9,5209.6,6545.0,2242.9,1697.4
4209006202,W109,5442.2,1993.7,5148.4,6483.8,2299.0,1753.5
4209006204,W110,5383.5,1934.9,5089.7,6425.1,2357.6,1812.2
4209006206,W111,5323.9,1875.4,5030.2,6365.5,2412.6,1867.2
4209006208,W112,5267.9,1819.3,4974.1,6309.4,2471.2,1925.8
4209006210,W113,5212.9,1764.4,4919.1,6254.5,2526.1,1980.7
7071346414,602,927.9,3506.3,4847.1,2510.9,3348.1,6246.8
7071346416,603,870.0,3584.7,4925.4,2589.2,3426.4,6325.2
7071346418,604,895.1,3609.8,4950.5,2614.3,3451.5,6350.2
7071346421,605,701.0,3738.2,5079.0,2742.7,3579.9,6478.7
7071346433,636,788.1,4315.5,5656.2,3182.8,4162.3,7061.0
7071346441,630,965.4,4492.8,5833.5,3360.1,4339.6,7238.3
7071346462,631,862.9,4390.3,5731.1,3257.6,4237.1,7135.9
7071346471,632,829.4,4356.8,5697.5,3224.1,4203.6,7102.3
7071346480,633,796.7,4324.2,5664.9,3191.5,4171.0,7069.7
7071352089,634,754.7,4282.1,5622.9,3149.4,4129.0,7027.7
7071352098,624,863.2,4390.6,5731.4,3257.9,4237.4,7136.2
7071352109,623,830.2,4357.6,5698.3,3224.9,4204.4,7103.1
7071352119,622,796.8,4324.2,5664.9,3191.5,4171.0,7069.7
7071352128,625,967.3,4494.7,5835.5,3362.0,4341.5,7240.3
7309467361,637,841.8,4369.2,5710.0,3236.5,4216.0,7114.8
7309467362,640,467.2,4030.9,5371.6,2861.9,3982.0,6880.7
7309467364,639,865.2,4392.7,5733.4,3260.0,4239.5,7138.2
7309467367,638,826.5,4353.9,5694.7,3221.2,4200.7,7099.5
7309467373,612,654.6,4182.0,5522.7,3049.3,4028.8,6927.5
7309467374,611,625.7,4080.8,5421.6,3020.4,3923.6,6822.4
7309563494,610,758.7,3968.2,5309.0,2944.6,3811.0,6709.8
7309563500,609,729.8,3939.4,5280.1,2915.8,3782.2,6680.9
7309563508,608,655.9,3865.5,5206.2,2841.9,3708.3,6607.0
7309563513,713,1151.9,3399.8,4787.4,2580.8,3083.8,5982.5
7309563515,714,1104.7,3400.2,4787.8,2533.6,3084.2,5982.9
7309563522,819,4636.7,2061.1,4431.1,5678.3,1399.4,2423.4
7309563524,818,4586.7,2011.0,4381.0,5628.3,1453.5,2477.5
7309563530,821,4637.1,2168.0,4431.6,5678.7,1242.4,2621.6
7309563532,820,4620.5,2151.4,4415.0,5662.1,1263.8,2643.0
7309563617,936,3622.4,1781.3,1759.9,3246.0,3970.8,5133.8
7309563619,937,3622.2,1781.1,1759.7,3245.7,3970.5,5133.6
7309563621,938,3876.5,2035.4,1577.1,3063.1,4224.9,5387.9
7309563623,939,3837.6,1996.5,1538.2,3024.3,4186.0,5349.0
7309563625,940,4076.8,2235.6,1270.7,3072.9,4425.1,5588.2
9958675351,935,3765.3,1368.4,2922.4,4370.0,3557.8,4720.9
9958675353,933,3683.8,1286.9,2840.9,4288.5,3476.3,4639.4
9958675355,932,3242.7,1359.6,2208.2,3655.8,3549.1,4712.2
9958675357,931,3225.1,1342.1,2190.6,3638.2,3531.5,4694.6
9958675358,934,3453.8,1570.8,1963.3,3410.9,3760.3,4923.3
9959449765,403,1974.8,3728.3,3456.7,1364.0,4167.9,6822.9
9959449766,401,1769.8,3881.7,3684.4,1237.9,4310.1,6976.3
9959449772,410,1554.3,3260.7,3905.9,1890.9,3689.1,6355.3
9959449774,411,1519.5,3244.1,3889.3,1856.1,3672.5,6338.7
9959449776,413,1386.8,3498.7,4089.3,1642.8,3927.1,6593.3
9961021435,958,4909.4,3068.3,542.1,3905.1,5257.7,6420.8
9961021440,955,4657.3,2816.1,667.4,3653.4,5005.6,6168.6
9961021457,956,4709.2,2868.1,686.5,3705.3,5057.5,6220.6
9961021458,957,4782.7,2941.6,639.1,3778.4,5131.1,6294.1
9961021516,951,3854.9,580.6,3012.1,4459.7,3548.7,3955.9
9961021817,952,3904.8,551.6,3061.9,4509.5,3569.6,3926.9
9961021818,953,3973.9,505.7,3131.1,4578.6,3555.1,3881.0
9961021819,954,4148.4,597.7,3305.5,4753.1,3688.4,3973.0
9961443059,253,3119.4,2660.5,4645.8,4291.5,1373.6,4272.4
9961443060,254,3110.8,2651.9,4637.2,4282.9,1365.1,4263.8
9961443070,251,3221.0,2762.2,4747.4,4393.1,1066.1,3964.9
9961443072,252,3145.8,2686.9,4672.2,4317.9,1400.0,4298.8
9961687359,W101,4851.7,1359.6,4514.4,5874.8,2456.8,2277.5
9961687360,W103,4943.5,1526.0,4680.8,5985.1,2361.2,2125.3
9961687361,W104,4988.6,1606.4,4757.8,6030.2,2281.7,2045.8
9961687362,W105,5066.5,1684.3,4835.7,6108.1,2202.8,1967.0
9961687363,W106,5144.3,1762.0,4913.4,6185.9,2132.4,1896.6
9961687364,W107,5215.1,1832.9,4984.3,6256.7,2052.5,1816.7
9961687365,W302,4665.7,1783.5,4457.9,5707.2,2021.5,2645.5
9961687378,W311,4754.8,1522.4,4547.1,5796.4,2261.4,2384.4
9961687380,W310,4737.6,1855.5,4529.9,5779.2,2004.3,2717.5
9961687382,W309,4810.3,1928.2,4602.6,5851.9,1932.7,2678.2
9961687384,W308,4881.9,1999.7,4674.1,5923.5,1859.2,2604.7
9961687390,W307,4888.8,2006.6,4681.0,5930.3,1811.3,2556.8
9961687392,W306,4837.2,1955.0,4629.5,5878.8,1852.7,2598.2
9961687394,W305,4793.3,1911.1,4585.6,5834.9,1895.0,2640.5
9961687396,W304,4751.1,1868.9,4543.4,5792.7,1938.1,2683.6
9961687398,W303,4708.6,1826.5,4500.9,5750.2,1979.4,2688.5
9961687400,W301,4423.0,1742.6,4215.3,5464.6,1929.6,2675.0
9961762262,817,4589.9,2120.7,4384.3,5631.4,1248.2,2627.5
9961762263,816,4558.8,2089.7,4353.2,5600.3,1275.3,2654.5
9961762315,A106,4087.3,1618.2,3881.7,5128.9,1782.7,2995.2
